,fino,int1,int2,grueso,solidos,velocidad,potencia,cu,sentidogiro,relacionfinogrueso,relacionfecu,alimreal
165,42.23,23.53,22.6,11.57,74.08,8.83,20756.13,0.44,0.0,2.033707865168539,7.1818181818181825,4161.49
166,43.47,22.96,22.83,11.3,74.3,8.7,20073.69,0.43,0.0,2.031858407079646,7.186046511627906,4256.81
167,42.21,22.93,23.02,11.02,73.92,8.7,20269.03,0.42,0.0,2.0807622504537204,7.5,4176.960000000001
168,45.49,22.85,22.44,9.17,73.96,8.75,20010.58,0.41,0.0,2.4918211559432937,7.390243902439025,4140.280000000001
169,43.37,22.78,23.04,10.97,74.05,8.7,20021.79,0.43,0.0,2.0765724703737467,7.023255813953488,4201.28
170,44.93,23.51,22.61,10.45,73.73,8.65,20039.74,0.41,0.0,2.2497607655502394,7.000000000000001,4177.869999999999
171,46.02,23.22,21.69,9.71,73.78,8.8,20548.21,0.41,0.0,2.3913491246137997,7.219512195121951,4036.830000000001
172,44.38,23.35,22.82,10.05,74.14,8.85,20698.96,0.44,0.0,2.3233830845771144,6.681818181818182,4090.7200000000007
173,43.34,23.08,23.05,10.32,74.14,8.84,20845.93,0.45,0.0,2.2364341085271318,6.666666666666666,4185.66
174,43.26,23.43,22.76,11.73,73.97,8.89,21099.51,0.43,0.0,1.9974424552429666,6.790697674418604,4183.53
175,42.18,23.22,23.72,11.61,73.78,8.95,21381.79,0.42,0.0,2.0,7.0476190476190474,4133.71
176,40.92,23.01,23.23,12.3,74.0,9.04,21585.9,0.43,0.0,1.8707317073170733,6.767441860465117,4140.86
177,43.76,23.42,22.21,10.76,73.94,8.99,21450.34,0.43,0.0,2.176579925650558,6.883720930232558,4141.830000000001
178,44.04,23.8,21.66,10.09,74.16,8.99,21318.13,0.43,0.0,2.358771060455897,6.883720930232558,4163.780000000001
179,44.71,23.54,22.04,9.66,73.95,8.97,21394.12,0.44,0.0,2.4368530020703933,6.909090909090909,4180.38
180,43.28,23.72,23.04,10.21,73.82,8.98,21474.34,0.42,0.0,2.323212536728697,7.261904761904762,4146.750000000001
181,40.8,23.18,23.58,11.17,74.22,8.98,21643.61,0.42,0.0,2.075201432408236,7.309523809523809,4127.89
182,44.25,23.64,22.58,10.77,73.57,9.05,21969.52,0.39,0.0,2.1949860724233985,8.076923076923077,3897.0599999999995
183,43.59,24.03,21.82,9.41,74.02,9.14,21891.13,0.38,0.0,2.5536663124335814,8.289473684210526,3894.1199999999994
184,43.41,23.71,21.61,9.97,74.3,9.14,21620.19,0.39,0.0,2.378134403209629,8.179487179487179,3845.59
185,42.78,23.49,23.1,10.73,74.28,9.0,21259.37,0.39,0.0,2.189189189189189,8.23076923076923,4126.349999999999
186,41.96,23.59,23.89,11.03,74.49,8.84,20910.63,0.38,0.0,2.1387126019945604,8.5,4251.459999999999
187,41.64,23.68,23.6,11.0,73.82,8.9,20991.77,0.34,0.0,2.152727272727273,9.235294117647058,4078.88
188,43.71,23.53,22.55,10.41,74.09,8.89,20719.22,0.35,0.0,2.260326609029779,9.200000000000001,4090.3399999999992
189,44.73,24.67,22.05,9.05,73.99,8.84,20524.43,0.38,0.0,2.7259668508287294,8.394736842105264,4224.56
190,41.17,23.62,24.53,10.61,74.07,8.85,20569.73,0.38,0.0,2.226201696512724,8.631578947368421,4239.41
191,39.59,23.51,23.48,11.31,73.86,8.69,20192.03,0.38,0.0,2.0786914235190097,8.552631578947368,4199.2
193,42.11,23.68,23.56,10.39,74.05,8.74,20277.65,0.35,0.0,2.2791145332050045,9.057142857142857,4219.4400000000005
194,41.21,23.78,23.05,10.94,74.04,8.84,20560.75,0.36,0.0,2.173674588665448,8.88888888888889,4174.070000000001
195,43.63,23.84,23.3,10.76,74.29,8.84,20750.72,0.38,0.0,2.2156133828996283,8.789473684210526,4100.66
196,42.24,23.9,23.61,10.34,73.78,8.89,20818.99,0.36,0.0,2.311411992263056,8.833333333333334,3995.8500000000004
197,41.1,23.52,24.26,10.18,74.18,8.9,20699.49,0.39,0.0,2.3104125736738705,8.487179487179487,4072.9500000000003
198,41.29,23.4,24.15,10.65,74.12,8.89,20619.51,0.39,0.0,2.197183098591549,8.282051282051281,4189.7699999999995
199,40.92,23.65,23.82,11.21,73.94,8.85,20258.52,0.38,0.0,2.109723461195361,8.552631578947368,4203.15
200,40.82,24.17,24.07,10.19,74.14,8.85,20424.29,0.4,0.0,2.3719332679097156,8.149999999999999,4197.360000000001
201,41.07,24.16,23.89,10.43,73.9,8.84,20699.94,0.41,0.0,2.3163950143815915,8.121951219512196,4201.93
202,39.43,24.08,23.35,11.55,73.83,8.85,20455.48,0.4,0.0,2.0848484848484845,8.174999999999999,4193.42
203,40.78,23.29,23.42,12.18,73.98,8.85,20420.96,0.44,0.0,1.9121510673234812,7.409090909090908,4111.2300000000005
204,38.85,23.05,24.03,12.23,74.24,9.0,20772.1,0.44,0.0,1.8847097301717088,7.340909090909091,4172.86
205,41.12,23.48,23.05,11.46,74.07,8.99,20825.06,0.47,0.0,2.048865619546248,6.914893617021277,4169.62
206,43.06,23.82,22.99,10.32,74.17,8.85,20317.81,0.49,0.0,2.308139534883721,6.63265306122449,4274.54
207,44.54,24.18,22.67,9.71,74.23,8.8,20074.92,0.46,0.0,2.4902162718846546,6.8478260869565215,4287.860000000001
211,45.19,24.26,21.85,9.9,73.71,8.75,20077.55,0.51,0.0,2.4505050505050505,6.294117647058823,4109.89
