TRATAMIENTO;FRD;D80;LEYSN;LEYS;LEYFE;RECUPERACION;RATIOSNS;RATIOSNS;RATIOFRDD80
2508.00;49.30;115.44;0.87;0.32;6.87;66.31;2.70;0.13;2.34
2508.00;52.06;114.57;0.89;0.31;6.64;63.73;2.87;0.13;2.20
2507.90;45.17;132.50;0.88;0.30;6.38;58.29;2.92;0.14;2.93
2508.00;41.52;153.84;0.91;0.31;6.20;63.99;2.92;0.15;3.71
2477.20;43.48;147.12;0.89;0.34;6.45;60.76;2.62;0.14;3.38
339.80;#N/D;#N/D;0.88;0.26;6.40;50.43;;;
2508.20;44.23;143.34;0.92;0.24;6.76;57.98;3.81;0.14;3.24
2508.10;52.79;108.40;0.91;0.36;6.04;59.15;2.51;0.15;2.05
2508.00;49.08;123.55;0.90;0.40;6.25;57.50;2.24;0.14;2.52
2508.00;42.34;144.93;0.88;0.34;6.39;53.75;2.59;0.14;3.42
2508.80;39.69;141.79;0.87;0.33;6.12;62.97;2.62;0.14;3.57
2507.50;40.23;150.25;0.89;0.29;7.00;61.52;3.07;0.13;3.73
2508.50;50.92;128.51;0.88;0.29;7.16;54.34;3.02;0.12;2.52
2508.00;49.15;133.85;0.89;0.34;6.85;59.12;2.60;0.13;2.72
2508.00;50.32;128.73;0.87;0.27;7.36;53.92;3.22;0.12;2.56
2508.00;47.52;143.47;0.90;0.27;6.91;58.12;3.33;0.13;3.02
2508.00;43.01;151.70;0.87;0.30;6.92;57.49;2.90;0.13;3.53
2508.10;42.36;145.31;0.84;0.29;6.91;63.59;2.90;0.12;3.43
2508.00;42.41;142.22;0.85;0.32;6.72;63.24;2.66;0.13;3.35
2491.60;47.24;138.23;0.88;0.32;6.93;60.23;2.75;0.13;2.93
2508.10;47.65;129.70;0.83;0.34;6.89;61.91;2.44;0.12;2.72
2508.40;49.61;117.74;0.87;0.31;6.74;58.81;2.81;0.13;2.37
2494.60;41.57;146.99;0.95;0.42;6.71;63.32;2.26;0.14;3.54
2506.20;48.49;112.25;0.95;0.42;6.94;60.34;2.26;0.14;2.32
2384.50;44.52;117.03;0.92;0.37;6.79;66.33;2.49;0.14;2.63
2632.30;47.07;125.05;0.95;0.32;7.04;59.55;2.97;0.14;2.66
2755.20;51.31;103.71;0.88;0.20;6.97;57.16;4.40;0.13;2.02
2872.60;55.32;101.25;0.88;0.21;7.72;57.99;4.19;0.11;1.83
2494.20;48.76;122.26;0.84;0.25;7.40;59.56;3.36;0.11;2.51
2508.80;46.43;127.14;0.89;0.30;6.39;55.27;2.97;0.14;2.74
2503.10;41.44;134.72;0.84;0.28;6.14;59.63;3.00;0.14;3.25
2508.00;43.11;132.88;0.85;0.26;6.12;61.84;3.27;0.14;3.08
2508.20;44.82;128.37;0.86;0.24;6.42;63.67;3.58;0.13;2.86
2508.10;44.00;119.25;0.88;0.26;6.08;60.93;3.38;0.14;2.71
2489.70;43.32;116.13;0.86;0.26;6.32;67.08;3.31;0.14;2.68
2483.60;45.83;118.80;0.85;0.24;6.37;64.55;3.54;0.13;2.59
2288.40;44.39;110.41;0.90;0.27;6.17;61.16;;;
2508.50;48.08;100.01;0.85;0.24;6.43;63.98;3.54;0.13;2.08
1348.70;49.84;101.12;0.88;0.27;6.44;59.81;;;
1305.90;47.31;101.25;0.92;0.30;5.98;60.78;;;
1388.30;#N/D;#N/D;0.92;0.27;6.46;70.30;;;
1330.00;#N/D;#N/D;0.87;0.27;5.79;50.49;;;
2447.40;47.09;101.84;1.00;0.36;6.06;57.96;2.78;0.17;2.16
2486.10;43.51;110.48;0.84;0.27;6.02;66.47;3.11;0.14;2.54
2501.80;36.67;129.06;0.84;0.25;6.01;66.81;;;
2504.00;38.24;143.20;0.84;0.29;6.03;68.14;2.90;0.14;3.74
2507.30;48.35;121.87;0.86;0.28;6.52;63.22;3.07;0.13;2.52
2499.00;44.15;128.93;0.86;0.29;6.35;60.06;2.97;0.14;2.92
2508.20;44.11;118.77;0.86;0.29;6.21;66.44;2.97;0.14;2.69
2473.50;40.97;126.63;0.87;0.31;6.03;66.84;2.81;0.14;3.09
2508.20;45.36;108.28;0.86;0.25;6.37;64.97;3.44;0.14;2.39
2508.00;43.70;104.46;0.82;0.25;6.10;67.64;3.28;0.13;2.39
2508.00;43.61;103.00;0.82;0.28;5.98;70.93;2.93;0.14;2.36
2508.00;37.82;122.05;0.81;0.28;6.15;69.44;;;
2452.50;41.86;133.64;0.89;0.42;5.79;78.92;2.12;0.15;3.19
2508.00;47.76;118.32;0.94;0.40;6.12;66.77;2.35;0.15;2.48
2508.00;47.54;122.07;0.86;0.35;6.27;70.43;2.46;0.14;2.57
2508.00;50.65;105.62;0.86;0.36;6.45;73.75;2.39;0.13;2.09
2486.30;45.58;123.24;0.88;0.33;6.22;70.80;2.67;0.14;2.70
2502.80;44.04;130.77;0.88;0.34;6.15;76.45;2.59;0.14;2.97
2508.00;41.13;142.84;0.90;0.38;6.15;76.78;2.37;0.15;3.47
2508.00;46.62;113.25;0.94;0.36;6.27;75.48;2.61;0.15;2.43
2508.00;49.42;121.35;0.89;0.32;6.61;76.26;2.78;0.13;2.46
2330.30;50.07;119.10;0.94;0.46;6.64;74.98;2.04;0.14;2.38
2500.50;50.88;122.40;0.85;0.33;6.82;73.59;2.58;0.12;2.41
2481.00;47.70;132.17;0.82;0.34;6.80;76.51;2.41;0.12;2.77
2508.00;49.42;120.05;0.97;0.45;6.53;68.24;2.16;0.15;2.43
2025.00;50.41;118.91;0.92;0.39;6.68;79.58;;;
2508.00;52.49;109.05;0.96;0.43;6.62;73.02;2.23;0.15;2.08
2508.00;51.08;99.87;0.84;0.34;6.57;76.08;2.47;0.13;1.96
2508.30;53.79;94.05;0.90;0.36;6.68;68.56;2.50;0.13;1.75
2508.10;53.91;89.77;0.98;0.51;6.64;67.74;1.92;0.15;1.67
2507.50;50.33;99.91;0.96;0.35;6.45;59.92;2.74;0.15;1.99
2508.00;53.67;95.95;1.00;0.83;6.32;57.62;1.20;0.16;1.79
2508.00;50.40;107.69;0.89;0.36;6.48;62.74;2.47;0.14;2.14
2508.80;49.37;122.78;0.82;0.29;6.89;59.11;2.83;0.12;2.49
2507.30;51.92;108.79;0.85;0.29;6.77;55.38;2.93;0.13;2.10
2469.80;45.97;112.61;0.88;0.26;6.70;60.15;3.38;0.13;2.45
2461.50;#N/D;#N/D;0.88;0.30;6.30;62.71;;;
2508.80;50.44;112.06;0.84;0.27;6.70;55.39;3.11;0.13;2.22
2508.10;46.50;111.55;0.86;0.27;6.54;55.08;3.19;0.13;2.40
2508.10;47.20;111.85;0.88;0.27;6.55;57.67;3.26;0.13;2.37
2508.10;45.16;122.88;0.84;0.27;6.51;60.62;3.11;0.13;2.72
2380.60;48.22;126.59;0.87;0.24;6.73;60.24;3.63;0.13;2.63
2344.50;42.08;163.07;0.92;0.29;6.68;57.88;3.17;0.14;3.88
2507.50;49.09;138.13;0.91;0.32;6.68;58.64;2.84;0.14;2.81
2452.50;49.46;121.78;0.88;0.35;6.58;61.11;2.51;0.13;2.46
2454.80;50.84;111.62;0.87;0.28;6.64;60.74;3.11;0.13;2.20
2508.00;48.55;125.02;0.91;0.33;6.51;63.16;2.76;0.14;2.58
2508.00;48.77;106.32;0.85;0.27;6.44;58.75;3.15;0.13;2.18
2508.00;44.94;101.82;0.83;0.33;6.34;60.72;2.52;0.13;2.27
