Fecha;HumedadAlimento;Tonelaje;SnA;FeA;SA;Humedadconcentrado;SnCon;Recuperacion
22-May;13.90;2357.500;0.84;3.107;0.35;7.72;34.02;73.97
23-May;14.44;2493.960;0.86;3.175;0.27;8.18;31.96;60.75
25-May;15.30;2487.750;0.86;3.194;0.35;8.97;32.52;64.61
26-May;14.59;2507.880;0.81;3.250;0.31;8.15;30.04;66.09
27-May;14.62;2507.630;0.82;3.265;0.33;8.63;31.19;67.18
28-May;15.22;2508.630;0.81;3.185;0.34;8.38;33.52;76.20
29-May;15.53;2508.130;0.82;2.950;0.37;8.48;32.23;71.93
30-May;14.72;2507.630;0.81;3.220;0.36;7.95;31.60;71.15
31-May;14.74;2508.380;0.81;3.175;0.27;8.11;31.73;68.26
1-Jun;14.82;2507.760;0.85;3.405;0.40;9.21;32.44;70.84
2-Jun;14.13;2508.130;0.85;3.100;0.42;8.96;31.82;67.00
3-Jun;15.73;2508.380;0.84;3.115;0.39;9.81;32.03;62.94
4-Jun;15.64;2508.010;0.88;3.010;0.29;9.39;33.80;71.31
5-Jun;15.05;2507.880;0.91;3.050;0.36;9.06;31.64;69.47
6-Jun;15.34;2508.250;0.84;2.914;0.25;8.94;33.16;69.28
7-Jun;15.27;2506.250;0.84;2.940;0.24;8.87;31.83;68.85
8-Jun;15.13;2508.750;0.87;2.935;0.30;8.55;32.03;72.11
9-Jun;14.57;2508.000;0.90;3.060;0.27;9.16;33.07;67.92
10-Jun;15.34;2508.000;0.83;3.100;0.19;8.52;32.32;68.41
11-Jun;14.52;2508.000;0.84;3.135;0.30;8.89;30.18;62.90
12-Jun;16.08;2508.000;0.87;3.355;0.35;8.51;31.73;66.91
13-Jun;15.14;2507.910;0.87;3.145;0.27;8.39;31.63;63.89
14-Jun;14.68;2508.000;0.85;3.090;0.29;8.42;29.44;64.21
15-Jun;13.98;2508.750;0.86;2.960;0.31;8.40;31.82;65.59
16-Jun;14.45;2502.000;0.87;3.566;0.23;8.68;34.29;65.88
17-Jun;14.66;2508.000;0.87;3.390;0.24;8.93;32.66;64.16
18-Jun;14.66;2501.000;0.86;3.384;0.20;8.73;33.39;67.66
19-Jun;14.76;2508.000;0.90;3.500;0.30;7.22;33.20;69.00
20-Jun;13.84;2507.950;0.90;3.520;0.27;7.42;33.32;65.90
21-Jun;14.99;2507.930;0.88;3.595;0.21;7.60;31.63;68.71
22-Jun;14.20;2432.750;0.87;3.359;0.25;8.65;30.49;65.40
23-Jun;14.39;2508.000;0.88;3.225;0.24;7.62;33.48;67.21
24-Jun;14.50;2508.750;0.87;3.295;0.39;7.62;30.88;68.31
25-Jun;13.81;2508.000;0.84;3.370;0.44;7.77;30.08;70.07
26-Jun;14.52;2508.000;0.89;3.465;0.44;7.84;32.51;65.17
27-Jun;14.25;2508.000;0.87;3.350;0.35;8.64;31.41;65.24
28-Jun;15.21;2507.910;0.90;3.275;0.60;9.19;33.33;63.67
29-Jun;14.76;2508.000;0.90;3.215;0.28;8.14;29.13;65.87
1-Jul;15.40;2508.400;0.86;3.100;0.30;8.49;28.75;65.09
2-Jul;14.58;2508.400;0.84;3.130;0.19;8.66;30.34;66.99
3-Jul;14.60;2407.130;0.90;3.010;0.27;8.05;32.94;64.33
4-Jul;14.75;2508.000;0.90;2.975;0.28;8.32;31.37;61.96
5-Jul;14.26;2508.000;0.83;3.105;0.26;8.30;33.04;66.37
6-Jul;14.29;2463.000;0.84;3.179;0.29;8.90;32.39;67.37
7-Jul;14.59;2507.250;0.87;3.825;0.33;7.25;33.52;70.32
8-Jul;14.54;2507.630;0.84;5.335;0.33;7.98;33.20;69.13
10-Jul;15.05;2508.000;0.85;4.550;0.25;9.39;30.70;60.65
11-Jul;15.05;2481.750;0.85;4.961;0.29;9.05;30.86;72.84
12-Jul;14.26;2400.630;0.83;5.590;0.28;9.45;31.50;72.94
13-Jul;14.43;2445.750;0.87;4.694;0.31;8.15;33.61;67.16
14-Jul;14.59;2402.130;0.85;5.023;0.37;9.49;32.79;66.24
15-Jul;14.92;2505.500;0.83;5.121;0.30;8.73;36.38;65.62
16-Jul;14.62;2508.000;0.85;6.750;0.33;8.81;31.92;64.08
17-Jul;14.70;2508.000;0.88;7.570;0.40;7.41;31.59;66.41
18-Jul;15.23;2508.000;0.85;7.230;0.36;7.49;32.53;68.29
19-Jul;15.57;2484.750;0.84;7.937;0.36;7.55;33.33;69.34
20-Jul;15.28;2333.250;0.85;7.690;0.37;8.44;30.40;62.37
21-Jul;14.88;2357.250;0.85;8.326;0.36;7.83;31.71;64.82
22-Jul;14.51;2508.000;0.84;7.795;0.41;7.65;30.30;67.82
23-Jul;14.81;2472.750;0.86;7.969;0.44;7.87;30.40;65.78
