fino;int 1;int 2;grueso;faja5;faja15;faja 11;%solidos sag;velocidad sag;peso sag;potencia sag;cu;fe
44.89651489;23.51363754;23.42603493;9.633170128;4101.575195;741.4550171;646.9390869;74.4672699;-8.790431023;3045.154715;20247.41406;0.44465071;3.488076687
41.30765915;23.08133507;25.00332832;11.06542969;4131.023438;731.9168701;606.7249146;74.05760193;-8.793257713;3052.807708;20438.87305;0.426683128;3.546497822
43.87989044;23.65823746;23.34736061;9.220517159;4095.221436;718.015564;613.7260132;73.99367523;-8.796869278;3066.334343;20313.32031;0.360192627;3.622166395
42.67870712;23.87810707;22.53198433;9.375477791;4052.176758;726.5785522;612.0929565;73.92115021;-8.791316032;3060.173651;20246.84375;0.468820184;3.479579687
43.34818649;24.16436958;22.61116982;8.792921066;4143.004395;731.0247192;617.9160156;74.0558548;-8.783390045;3062.125937;20321.35547;0.462866277;3.432645559
44.64279556;22.80721092;23.30068207;9.665945053;4159.266602;732.6019897;630.0686646;74.0524292;-8.792028427;3059.427177;20211.88672;0.44347477;3.467207193
46.35591125;23.68116188;22.8083477;9.691810608;4149.560547;732.0532837;618.8984375;74.02238464;-8.795453072;3056.117001;20217.37891;0.441500992;3.453210115
43.02665329;23.95376396;22.49948692;10.04076481;4462.038086;327.6959534;602.5547485;73.88887787;-8.798440933;3062.434755;20652.4707;0.454151541;3.430219889
45.65350342;23.33856964;22.19877625;9.598576546;4350.108398;336.9704285;574.1445923;73.87499237;-8.796172142;3084.122568;20650.24219;0.437518328;3.466481924
42.53978348;23.35711288;22.90424156;9.287240028;4502.696289;322.9993896;599.5525513;74.30207825;-8.847026825;3078.144455;20495.94531;0.461330742;3.491064072
43.7032814;23.28450012;23.24653053;9.677337646;4453.022949;340.813324;591.2989502;74.08547211;-8.897694588;3099.111314;21123.05664;0.37361446;3.490654707
45.20239258;23.98527336;23.48988152;8.38643837;4095.174561;331.084198;560.9776611;73.35650635;-9.095006943;3152.521171;21585.07227;0.360921115;3.508919954
44.12072372;23.55210114;22.48904991;8.763959885;4074.947754;342.303009;599.9585571;73.88056946;-9.098208427;3122.311768;21685.23242;0.414123297;3.43401885
46.04500198;23.92654228;22.10537338;7.969863892;4089.907471;337.9485168;578.0229492;73.94843292;-8.993144035;3111.878846;21469.08984;0.397121936;3.412247896
42.38002014;23.8575325;23.14733124;9.362185478;4217.072754;337.210083;566.8840332;74.13343811;-8.991110802;3107.99585;21571.66602;0.457009137;3.451412916
44.88080597;23.78568268;22.56798553;8.683309555;4233.82959;348.6512451;583.7796021;74.02677155;-8.995792389;3123.511231;21264.0918;0.399358332;3.478731394
